locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKMANJED_01134	CDS	666				hypothetical protein
JKMANJED_01135	CDS	696				hypothetical protein
JKMANJED_01136	CDS	894				hypothetical protein
JKMANJED_01137	CDS	1128				hypothetical protein
JKMANJED_01138	CDS	246				hypothetical protein
JKMANJED_01139	CDS	342				hypothetical protein
JKMANJED_01140	CDS	309				hypothetical protein
JKMANJED_01141	CDS	675	lexA_1	3.4.21.88		LexA repressor
JKMANJED_01142	CDS	201				hypothetical protein
JKMANJED_01143	CDS	558				hypothetical protein
JKMANJED_01144	CDS	339				hypothetical protein
JKMANJED_01145	CDS	1368				hypothetical protein
JKMANJED_01146	CDS	183				hypothetical protein
JKMANJED_01147	CDS	474				hypothetical protein
JKMANJED_01148	CDS	750				hypothetical protein
JKMANJED_01149	CDS	585				hypothetical protein
JKMANJED_01150	CDS	630				hypothetical protein
JKMANJED_01151	CDS	375				hypothetical protein
JKMANJED_01152	CDS	603	tfaE_1			Prophage tail fiber assembly protein TfaE
JKMANJED_01153	CDS	537				hypothetical protein
JKMANJED_01154	CDS	555	hin		COG1961	DNA-invertase hin
JKMANJED_01155	CDS	834	mcrA	3.1.21.-	COG1403	5-methylcytosine-specific restriction enzyme A
JKMANJED_01156	CDS	165	icd_2	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
JKMANJED_01157	CDS	405	ydfO_2		COG5562	putative protein YdfO
JKMANJED_01158	CDS	732	bluR		COG0789	HTH-type transcriptional repressor BluR
JKMANJED_01159	CDS	1212	bluF			Blue light- and temperature-regulated antirepressor BluF
JKMANJED_01160	CDS	237	ycgZ			putative two-component-system connector protein YcgZ
JKMANJED_01161	CDS	267	ariR			putative two-component-system connector protein AriR
JKMANJED_01162	CDS	249	ymgC			putative protein YmgC
JKMANJED_01163	CDS	1524	pdeG	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeG
JKMANJED_01164	CDS	219	ymgF			Inner membrane protein YmgF
JKMANJED_01165	CDS	1521				hypothetical protein
JKMANJED_01166	CDS	1017	icsA_1		COG3468	Outer membrane protein IcsA autotransporter
JKMANJED_01167	CDS	330	ymgD			putative protein YmgD
JKMANJED_01168	CDS	285				hypothetical protein
JKMANJED_01169	CDS	267	minE		COG0851	Cell division topological specificity factor
JKMANJED_01170	CDS	813	minD		COG2894	Septum site-determining protein MinD
JKMANJED_01171	CDS	696	minC		COG0850	Septum site-determining protein MinC
JKMANJED_01172	CDS	369				hypothetical protein
JKMANJED_01173	CDS	402	pliG			Inhibitor of g-type lysozyme
JKMANJED_01174	CDS	294	ycgL		COG3100	Protein YcgL
JKMANJED_01175	CDS	660	ycgM		COG0179	putative protein YcgM
JKMANJED_01176	CDS	447				hypothetical protein
JKMANJED_01177	CDS	912	hlyE			Hemolysin E, chromosomal
JKMANJED_01178	CDS	420	umuD	3.4.21.-	COG1974	Protein UmuD
JKMANJED_01179	CDS	1269	umuC		COG0389	Protein UmuC
JKMANJED_01180	CDS	531	dsbB		COG1495	Disulfide bond formation protein B
JKMANJED_01181	CDS	1542	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
JKMANJED_01182	CDS	720	fadR		COG2186	Fatty acid metabolism regulator protein
JKMANJED_01183	CDS	1533				hypothetical protein
JKMANJED_01184	CDS	1299	dadA_1	1.4.99.-	COG0665	D-amino acid dehydrogenase
JKMANJED_01185	CDS	1071	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
JKMANJED_01186	CDS	1737	cvrA		COG3263	K(+)/H(+) antiporter NhaP2
JKMANJED_01187	CDS	915	ldcA	3.4.17.13	COG1619	Murein tetrapeptide carboxypeptidase
JKMANJED_01188	CDS	612	emtA	4.2.2.-	COG0741	Endo-type membrane-bound lytic murein transglycosylase A
JKMANJED_01189	CDS	735	ycgR		COG5581	Flagellar brake protein YcgR
JKMANJED_01190	CDS	255				hypothetical protein
JKMANJED_01191	CDS	441				hypothetical protein
JKMANJED_01192	CDS	1698	treA	3.2.1.28	COG1626	Periplasmic trehalase
JKMANJED_01193	CDS	1419	dhaM	2.7.1.121	COG1080	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM
JKMANJED_01194	CDS	633	dhaL	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
JKMANJED_01195	CDS	1071	dhaK	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
JKMANJED_01196	CDS	1920	dhaR		COG3284	PTS-dependent dihydroxyacetone kinase operon regulatory protein
JKMANJED_01197	CDS	2868				hypothetical protein
JKMANJED_01198	CDS	180				hypothetical protein
JKMANJED_01199	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
JKMANJED_01200	CDS	585	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
JKMANJED_01201	CDS	279				hypothetical protein
JKMANJED_01202	CDS	1653	dauA		COG0659	C4-dicarboxylic acid transporter DauA
JKMANJED_01203	CDS	1014	prs_1	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
JKMANJED_01204	CDS	852	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
JKMANJED_01205	CDS	624	lolB		COG3017	Outer-membrane lipoprotein LolB
JKMANJED_01206	CDS	1257	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
JKMANJED_01207	CDS	1083	prfA		COG0216	Peptide chain release factor RF1
JKMANJED_01208	CDS	834	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
JKMANJED_01209	CDS	393	ychQ		COG3094	Protein YchQ
JKMANJED_01210	CDS	810				hypothetical protein
JKMANJED_01211	CDS	855	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
JKMANJED_01212	CDS	108	ldrA_1			Small toxic polypeptide LdrA
JKMANJED_01213	CDS	108	ldrA_2			Small toxic polypeptide LdrA
JKMANJED_01214	CDS	108	ldrA_3			Small toxic polypeptide LdrA
JKMANJED_01215	CDS	1101	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
JKMANJED_01216	CDS	231	chaB		COG4572	Putative cation transport regulator ChaB
JKMANJED_01217	CDS	717	chaC	4.3.2.7	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
JKMANJED_01218	CDS	354	ychN		COG1553	Protein YchN
JKMANJED_01219	CDS	1395				Invasin
JKMANJED_01220	CDS	651	narL_1		COG2197	Nitrate/nitrite response regulator protein NarL
JKMANJED_01221	CDS	1797	narX	2.7.13.3		Nitrate/nitrite sensor protein NarX
JKMANJED_01222	CDS	219				hypothetical protein
JKMANJED_01223	CDS	1392	narK		COG2223	Nitrate/nitrite transporter NarK
JKMANJED_01224	CDS	3744	narG	1.7.5.1	COG5013	Respiratory nitrate reductase 1 alpha chain
JKMANJED_01225	CDS	1539	narH	1.7.5.1	COG1140	Respiratory nitrate reductase 1 beta chain
JKMANJED_01226	CDS	711	narJ		COG2180	Nitrate reductase molybdenum cofactor assembly chaperone NarJ
JKMANJED_01227	CDS	678	narI	1.7.5.1	COG2181	Respiratory nitrate reductase 1 gamma chain
JKMANJED_01228	tRNA	85				tRNA-Tyr(gta)
JKMANJED_01229	tRNA	85				tRNA-Tyr(gta)
JKMANJED_01230	CDS	843	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
JKMANJED_01231	CDS	459				hypothetical protein
JKMANJED_01232	CDS	945			COG1752	putative NTE family protein
JKMANJED_01233	CDS	1014	rssB		COG0784	Regulator of RpoS
JKMANJED_01234	CDS	909	galU	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
JKMANJED_01235	CDS	414	hns		COG2916	DNA-binding protein H-NS
JKMANJED_01236	CDS	618	tdk	2.7.1.21	COG1435	Thymidine kinase
JKMANJED_01237	CDS	591				hypothetical protein
JKMANJED_01238	CDS	186			COG3385	IS4 family transposase ISCro3
JKMANJED_01239	CDS	2676	adhE		COG1012	Aldehyde-alcohol dehydrogenase
JKMANJED_01240	CDS	648				hypothetical protein
JKMANJED_01241	CDS	156				hypothetical protein
JKMANJED_01242	CDS	981			COG3039	IS5 family transposase IS5
JKMANJED_01243	CDS	1677	oppA		COG4166	Periplasmic oligopeptide-binding protein
JKMANJED_01244	CDS	921	oppB		COG0601	Oligopeptide transport system permease protein OppB
JKMANJED_01245	CDS	909	oppC		COG1173	Oligopeptide transport system permease protein OppC
JKMANJED_01246	CDS	1014	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
JKMANJED_01247	CDS	1005	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JKMANJED_01248	CDS	330				hypothetical protein
JKMANJED_01249	CDS	1461	clsA	2.7.8.-	COG1502	Cardiolipin synthase A
JKMANJED_01250	CDS	1254	kch		COG1226	Voltage-gated potassium channel Kch
JKMANJED_01251	CDS	297	yciI		COG2350	Protein YciI
JKMANJED_01252	CDS	735	tonB		COG0810	Protein TonB
JKMANJED_01253	CDS	399		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
JKMANJED_01254	CDS	540	yciB		COG2917	putative intracellular septation protein A
JKMANJED_01255	CDS	744				hypothetical protein
JKMANJED_01256	CDS	639	ompW		COG3047	Outer membrane protein W
JKMANJED_01257	CDS	507	yciE		COG3685	Protein YciE
JKMANJED_01258	CDS	501	yciF		COG3685	Protein YciF
JKMANJED_01259	CDS	180				hypothetical protein
JKMANJED_01260	CDS	807	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
JKMANJED_01261	CDS	1194	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
JKMANJED_01262	CDS	1359	trpC		COG0134	Tryptophan biosynthesis protein TrpCF
JKMANJED_01263	CDS	1596	trpGD		COG0512	Bifunctional protein TrpGD
JKMANJED_01264	CDS	1563	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
JKMANJED_01265	CDS	882	yciV	3.1.13.-	COG0613	5'-3' exoribonuclease
JKMANJED_01266	CDS	621	yciO		COG0009	putative protein YciO
JKMANJED_01267	CDS	1896				hypothetical protein
JKMANJED_01268	CDS	876	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
JKMANJED_01269	CDS	591	btuR	2.5.1.17	COG2109	Corrinoid adenosyltransferase
JKMANJED_01270	CDS	759	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
JKMANJED_01271	CDS	1050	sohB	3.4.21.-	COG0616	putative protease SohB
JKMANJED_01272	CDS	252	yciN			Protein YciN
JKMANJED_01273	CDS	2598	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
JKMANJED_01274	CDS	975	cysB			HTH-type transcriptional regulator CysB
JKMANJED_01275	CDS	129	ymiA			Protein YmiA
JKMANJED_01276	CDS	168				hypothetical protein
JKMANJED_01277	CDS	96	ymiC			Protein YmiC
JKMANJED_01278	CDS	2676	acnA	4.2.1.3	COG1048	Aconitate hydratase A
JKMANJED_01279	CDS	591	ribA	3.5.4.25	COG0807	GTP cyclohydrolase-2
JKMANJED_01280	CDS	765	pgpB	3.1.3.27	COG0671	Phosphatidylglycerophosphatase B
JKMANJED_01281	CDS	309	lapA		COG3771	Lipopolysaccharide assembly protein A
JKMANJED_01282	CDS	1170	lapB_1		COG2956	Lipopolysaccharide assembly protein B
JKMANJED_01283	CDS	798	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
JKMANJED_01284	CDS	327	yciH		COG0023	putative protein YciH
JKMANJED_01285	CDS	219	osmB			Osmotically-inducible lipoprotein B
JKMANJED_01286	CDS	750	srlR_1		COG1349	Glucitol operon repressor
JKMANJED_01287	CDS	174				hypothetical protein
JKMANJED_01288	CDS	1986	pdeR	3.1.4.52	COG2199	Cyclic di-GMP phosphodiesterase PdeR
JKMANJED_01289	CDS	1935	rnb	3.1.13.1	COG4776	Exoribonuclease 2
JKMANJED_01290	CDS	1128				hypothetical protein
JKMANJED_01291	CDS	789	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
JKMANJED_01292	CDS	807	sapF		COG4167	Putrescine export system ATP-binding protein SapF
JKMANJED_01293	CDS	993	sapD		COG4170	Putrescine export system ATP-binding protein SapD
JKMANJED_01294	CDS	891	sapC		COG4171	Putrescine export system permease protein SapC
JKMANJED_01295	CDS	966	sapB_1		COG4168	Putrescine export system permease protein SapB
JKMANJED_01296	CDS	1644	sapA		COG4166	Peptide transport periplasmic protein SapA
JKMANJED_01297	CDS	246				hypothetical protein
JKMANJED_01298	CDS	1386	puuP		COG0531	Putrescine importer PuuP
JKMANJED_01299	CDS	1419	puuA	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
JKMANJED_01300	CDS	753	puuD	3.5.1.94	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
JKMANJED_01301	CDS	558	puuR			HTH-type transcriptional regulator PuuR
JKMANJED_01302	CDS	1488	puuC	1.2.1.5	COG1012	NADP/NAD-dependent aldehyde dehydrogenase PuuC
JKMANJED_01303	CDS	1281	puuB	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
JKMANJED_01304	CDS	1266	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
JKMANJED_01305	CDS	978	pspF		COG1221	Psp operon transcriptional activator
JKMANJED_01306	CDS	669	pspA		COG1842	Phage shock protein A
JKMANJED_01307	CDS	225	pspB_1			Phage shock protein B
JKMANJED_01308	CDS	360	pspC		COG1983	Phage shock protein C
JKMANJED_01309	CDS	222	pspD			Phage shock protein D
JKMANJED_01310	CDS	315	pspE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase PspE
JKMANJED_01311	CDS	1680	ycjM	2.4.1.352	COG0366	Glucosylglycerate phosphorylase
JKMANJED_01312	CDS	1293				hypothetical protein
JKMANJED_01313	CDS	882	ycjO		COG1175	Inner membrane ABC transporter permease protein YcjO
JKMANJED_01314	CDS	843	ycjP		COG0395	Inner membrane ABC transporter permease protein YcjP
JKMANJED_01315	CDS	1053	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
JKMANJED_01316	CDS	789	iolE	4.2.1.44		Inosose dehydratase
JKMANJED_01317	CDS	1056	iolG	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
JKMANJED_01318	CDS	2268	ycjT	2.4.1.230	COG1554	Kojibiose phosphorylase
JKMANJED_01319	CDS	660	ycjU	5.4.2.6	COG0637	Beta-phosphoglucomutase
JKMANJED_01320	CDS	969	msmX	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
JKMANJED_01321	CDS	906	ompG			Outer membrane porin G
JKMANJED_01322	CDS	999	purR_1		COG1609	HTH-type transcriptional repressor PurR
JKMANJED_01323	CDS	1398	ycjX		COG3106	putative protein YcjX
JKMANJED_01324	CDS	1062				hypothetical protein
JKMANJED_01325	CDS	1542	tyrR		COG3283	Transcriptional regulatory protein TyrR
JKMANJED_01326	CDS	507	tpx	1.11.1.15	COG2077	Thiol peroxidase
JKMANJED_01327	CDS	966	ycjG	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
JKMANJED_01328	CDS	729	mpaA	3.4.17.-	COG2866	Murein peptide amidase A
JKMANJED_01329	CDS	183				hypothetical protein
JKMANJED_01330	CDS	921	ycjY		COG1073	putative protein YcjY
JKMANJED_01331	CDS	900	pgrR_2			HTH-type transcriptional regulator PgrR
JKMANJED_01332	CDS	1614	mppA		COG4166	Periplasmic murein peptide-binding protein
JKMANJED_01333	CDS	1032	ynaI		COG0668	Low conductance mechanosensitive channel YnaI
JKMANJED_01334	CDS	981			COG3039	IS5 family transposase IS5
JKMANJED_01335	CDS	258				hypothetical protein
JKMANJED_01336	CDS	951	uspE		COG0589	Universal stress protein E
JKMANJED_01337	CDS	753	fnr		COG0664	Fumarate and nitrate reduction regulatory protein
JKMANJED_01338	CDS	516	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
JKMANJED_01339	CDS	1527	abgT		COG2978	p-aminobenzoyl-glutamate transport protein
JKMANJED_01340	CDS	1446	abgB	3.5.1.-	COG1473	p-aminobenzoyl-glutamate hydrolase subunit B
JKMANJED_01341	CDS	1311	abgA	3.5.1.-	COG1473	p-aminobenzoyl-glutamate hydrolase subunit A
JKMANJED_01342	CDS	909	tsaR_1			HTH-type transcriptional regulator TsaR
JKMANJED_01343	CDS	564	smrA	3.1.-.-	COG2840	putative DNA endonuclease SmrA
JKMANJED_01344	CDS	1233	dgcM	2.7.7.65	COG2199	Diguanylate cyclase DgcM
JKMANJED_01345	CDS	984	zntB		COG0598	Zinc transport protein ZntB
JKMANJED_01346	CDS	174	ynaL			Protein YnaL
JKMANJED_01347	CDS	1374	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
JKMANJED_01348	CDS	936	ttcA	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
JKMANJED_01349	CDS	1236	intQ_1		COG0582	Putative defective protein IntQ
JKMANJED_01350	CDS	216				hypothetical protein
JKMANJED_01351	CDS	210	rcbA			Double-strand break reduction protein
JKMANJED_01352	CDS	810	recT		COG3723	Protein RecT
JKMANJED_01353	CDS	2601	recE	3.1.11.-		Exodeoxyribonuclease 8
JKMANJED_01354	CDS	276				hypothetical protein
JKMANJED_01355	CDS	171				hypothetical protein
JKMANJED_01356	CDS	222	kilR			Killing protein KilR
JKMANJED_01357	CDS	612				hypothetical protein
JKMANJED_01358	CDS	156				hypothetical protein
JKMANJED_01359	CDS	135	ydaG			putative protein YdaG
JKMANJED_01360	CDS	477				hypothetical protein
JKMANJED_01361	CDS	297				hypothetical protein
JKMANJED_01362	CDS	423				hypothetical protein
JKMANJED_01363	CDS	858				hypothetical protein
JKMANJED_01364	CDS	747	dnaC_1		COG1484	DNA replication protein DnaC
JKMANJED_01365	CDS	561	ydaW			Protein YdaW
JKMANJED_01366	CDS	300				hypothetical protein
JKMANJED_01367	CDS	1425	trkG		COG0168	Trk system potassium uptake protein TrkG
JKMANJED_01368	CDS	264				hypothetical protein
JKMANJED_01369	CDS	360	ydaY			Protein YdaY
JKMANJED_01370	CDS	1029				hypothetical protein
JKMANJED_01371	CDS	981			COG3039	IS5 family transposase ISKpn26
JKMANJED_01372	CDS	738				hypothetical protein
JKMANJED_01373	CDS	1998				hypothetical protein
JKMANJED_01374	CDS	576	tfaE_2			Prophage tail fiber assembly protein TfaE
JKMANJED_01375	CDS	591				Tn3 family transposase ISYps3
JKMANJED_01376	CDS	234	ynaE			putative protein YnaE
JKMANJED_01377	CDS	435	uspF		COG0589	Universal stress protein F
JKMANJED_01378	CDS	1134	ompN_1		COG3203	Outer membrane porin N
JKMANJED_01379	CDS	3525	nifJ	1.2.7.-	COG0674	Pyruvate-flavodoxin oxidoreductase
JKMANJED_01380	CDS	267				hypothetical protein
JKMANJED_01381	CDS	423	hslJ		COG3187	Heat shock protein HslJ
JKMANJED_01382	CDS	990	ldhA	1.1.1.28	COG1052	D-lactate dehydrogenase
JKMANJED_01383	CDS	2640				hypothetical protein
JKMANJED_01384	CDS	186				hypothetical protein
JKMANJED_01385	CDS	327				hypothetical protein
JKMANJED_01386	CDS	906	feaR		COG2207	Transcriptional activator FeaR
JKMANJED_01387	CDS	1500	feaB	1.2.1.39	COG1012	Phenylacetaldehyde dehydrogenase
JKMANJED_01388	CDS	2274	tynA	1.4.3.21	COG3733	Primary amine oxidase
JKMANJED_01389	CDS	2046	paaZ		COG2030	Bifunctional protein PaaZ
JKMANJED_01390	CDS	930	paaA	1.14.13.149	COG3396	1,2-phenylacetyl-CoA epoxidase, subunit A
JKMANJED_01391	CDS	288	paaB		COG3460	1,2-phenylacetyl-CoA epoxidase, subunit B
JKMANJED_01392	CDS	747	paaC		COG3396	1,2-phenylacetyl-CoA epoxidase, subunit C
JKMANJED_01393	CDS	498	paaD		COG2151	Putative 1,2-phenylacetyl-CoA epoxidase, subunit D
JKMANJED_01394	CDS	1071	paaE	1.-.-.-	COG1018	1,2-phenylacetyl-CoA epoxidase, subunit E
JKMANJED_01395	CDS	768	paaF	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
JKMANJED_01396	CDS	789	paaG	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
JKMANJED_01397	CDS	1383	paaH	1.1.1.-	COG1250	3-hydroxyadipyl-CoA dehydrogenase
JKMANJED_01398	CDS	423	paaI	3.1.2.-	COG2050	Acyl-coenzyme A thioesterase PaaI
JKMANJED_01399	CDS	1206	paaJ	2.3.1.174	COG0183	3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase
JKMANJED_01400	CDS	1314	paaK	6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
JKMANJED_01401	CDS	951	paaX		COG3327	Transcriptional repressor PaaX
JKMANJED_01402	CDS	591	caiE			Carnitine operon protein CaiE
JKMANJED_01403	CDS	2559				hypothetical protein
JKMANJED_01404	CDS	906				IS3 family transposase IS2
JKMANJED_01405	CDS	366				hypothetical protein
JKMANJED_01406	CDS	1152			COG2826	IS30 family transposase IS30
JKMANJED_01407	CDS	3324				hypothetical protein
JKMANJED_01408	CDS	861	pdxI	1.1.1.65		Pyridoxine 4-dehydrogenase
JKMANJED_01409	CDS	2307				hypothetical protein
JKMANJED_01410	CDS	606	ynbA		COG0558	Inner membrane protein YnbA
JKMANJED_01411	CDS	897				hypothetical protein
JKMANJED_01412	CDS	1758	ynbC		COG2267	putative protein YnbC
JKMANJED_01413	CDS	1317	ynbD		COG0671	putative protein YnbD
JKMANJED_01414	CDS	606	azoR_2	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase
JKMANJED_01415	CDS	3903				hypothetical protein
JKMANJED_01416	CDS	801	ydcF		COG1434	Protein YdcF
JKMANJED_01417	CDS	1440	aldA	1.2.1.22	COG1012	Lactaldehyde dehydrogenase
JKMANJED_01418	CDS	252	gapA1	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase 1
JKMANJED_01419	CDS	378	gap	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase
JKMANJED_01420	CDS	117				hypothetical protein
JKMANJED_01421	CDS	531	cybB		COG3038	Cytochrome b561
JKMANJED_01422	CDS	174				hypothetical protein
JKMANJED_01423	CDS	168				hypothetical protein
JKMANJED_01424	CDS	1641	trg		COG0840	Methyl-accepting chemotaxis protein III
JKMANJED_01425	CDS	924	catM			HTH-type transcriptional regulator CatM
JKMANJED_01426	CDS	1344			COG5383	putative protein
JKMANJED_01427	CDS	1620	mdoD		COG3131	Glucans biosynthesis protein D
JKMANJED_01428	CDS	225				hypothetical protein
JKMANJED_01429	CDS	540	rimL	2.3.1.-	COG1670	Ribosomal-protein-serine acetyltransferase
JKMANJED_01430	CDS	981				hypothetical protein
JKMANJED_01431	CDS	993	tehA		COG1275	Tellurite resistance protein TehA
JKMANJED_01432	CDS	594	tehB	2.1.1.265	COG0500	Tellurite methyltransferase
JKMANJED_01433	CDS	669				hypothetical protein
JKMANJED_01434	CDS	288				hypothetical protein
JKMANJED_01435	CDS	1149				IS200/IS605 family transposase IS609
JKMANJED_01436	CDS	1176	ydcO		COG3135	Inner membrane protein YdcO
JKMANJED_01437	CDS	537	sutR		COG1396	HTH-type transcriptional regulator SutR
JKMANJED_01438	CDS	1962	rlhA_1		COG0826	23S rRNA 5-hydroxycytidine synthase
JKMANJED_01439	CDS	171				hypothetical protein
JKMANJED_01440	CDS	177	hicA	3.1.-.-		putative mRNA interferase toxin HicA
JKMANJED_01441	CDS	438	hicB		COG1598	Antitoxin HicB
JKMANJED_01442	CDS	1407	lysN	2.6.1.39	COG1167	2-aminoadipate transaminase
JKMANJED_01443	CDS	1146	ydcS	2.3.1.-		Bifunctional polyhydroxybutyrate synthase / ABC transporter periplasmic binding protein
JKMANJED_01444	CDS	1014	potA_3	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
JKMANJED_01445	CDS	942	ydcU		COG1176	Inner membrane ABC transporter permease protein YdcU
JKMANJED_01446	CDS	795	ydcV_3			Inner membrane ABC transporter permease protein YdcV
JKMANJED_01447	CDS	1425	prr	1.2.1.19	COG1012	Gamma-aminobutyraldehyde dehydrogenase
JKMANJED_01448	CDS	174	ortT			Orphan toxin OrtT
JKMANJED_01449	CDS	234	ydcY			putative protein YdcY
JKMANJED_01450	CDS	450	ydcZ		COG3238	Inner membrane protein YdcZ
JKMANJED_01451	CDS	519	mnaT	2.3.1.-	COG1247	L-amino acid N-acyltransferase MnaT
JKMANJED_01452	CDS	1038	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
JKMANJED_01453	CDS	666	mcbR		COG1802	HTH-type transcriptional regulator McbR
JKMANJED_01454	CDS	2103	cntO			Metal-pseudopaline receptor CntO
JKMANJED_01455	CDS	1062	yncE		COG3391	putative protein YncE
JKMANJED_01456	CDS	1500	ansP2		COG1113	L-asparagine permease 2
JKMANJED_01457	CDS	618	gstB_2	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
JKMANJED_01458	CDS	213				hypothetical protein
JKMANJED_01459	CDS	2049	rhsD_2		COG3209	Protein RhsD
JKMANJED_01460	CDS	483				hypothetical protein
JKMANJED_01461	CDS	747				ISAs1 family transposase ISEc26
JKMANJED_01462	CDS	1137				ISAs1 family transposase ISEc5
JKMANJED_01463	CDS	234	pptA	5.3.2.-	COG1942	Tautomerase PptA
JKMANJED_01464	CDS	570				hypothetical protein
JKMANJED_01465	CDS	846	nhoA	2.3.1.5	COG2162	Arylamine N-acetyltransferase
JKMANJED_01466	CDS	894	yddE	5.1.-.-	COG0384	putative isomerase YddE
JKMANJED_01467	CDS	681	narV	1.7.5.1	COG2181	Respiratory nitrate reductase 2 gamma chain
JKMANJED_01468	CDS	696	narW		COG2180	putative nitrate reductase molybdenum cofactor assembly chaperone NarW
JKMANJED_01469	CDS	1545	narY	1.7.5.1	COG1140	Respiratory nitrate reductase 2 beta chain
JKMANJED_01470	CDS	3741	narZ	1.7.5.1	COG5013	Respiratory nitrate reductase 2 alpha chain
JKMANJED_01471	CDS	1389	narU		COG2223	Nitrate/nitrite transporter NarU
JKMANJED_01472	CDS	336				hypothetical protein
JKMANJED_01473	CDS	921				hypothetical protein
JKMANJED_01474	CDS	291	ompD_2		COG3203	Outer membrane porin protein OmpD
JKMANJED_01475	CDS	825	yddG		COG0697	Aromatic amino acid exporter YddG
JKMANJED_01476	CDS	588	fdnG_1	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
JKMANJED_01477	CDS	2412	fdnG_2	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
JKMANJED_01478	CDS	885	fdnH_1		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
JKMANJED_01479	CDS	654	fdnI		COG2864	Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit
JKMANJED_01480	CDS	285	yddM		COG3093	putative HTH-type transcriptional regulator YddM
JKMANJED_01481	CDS	1011	adhP	1.1.1.1	COG1064	Alcohol dehydrogenase, propanol-preferring
JKMANJED_01482	CDS	1698	maeA	1.1.1.38	COG0281	NAD-dependent malic enzyme
JKMANJED_01483	CDS	138	sra			Stationary-phase-induced ribosome-associated protein
JKMANJED_01484	CDS	216	bdm			Protein bdm
JKMANJED_01485	CDS	432	osmC	1.11.1.15	COG1764	Peroxiredoxin OsmC
JKMANJED_01486	CDS	927	ddpF		COG1124	putative D,D-dipeptide transport ATP-binding protein DdpF
JKMANJED_01487	CDS	987	ddpD		COG0444	putative D,D-dipeptide transport ATP-binding protein DdpD
